formatted_date,open,high,low,close,adjclose,volume
2022-01-27,135.9199981689453,136.5800018310547,133.9199981689453,134.9199981689453,132.27362060546875,125900
2022-01-28,130.7100067138672,132.9600067138672,130.0,132.47000122070312,129.87168884277344,127500
2022-01-31,134.63999938964844,136.61000061035156,134.27999877929688,136.52999877929688,133.85205078125,291400
2022-02-01,138.3300018310547,138.63999938964844,136.39999389648438,137.89999389648438,135.19517517089844,66000
2022-02-02,139.5500030517578,140.77999877929688,138.9499969482422,140.2899932861328,137.5382843017578,200900
2022-02-03,138.22000122070312,139.3699951171875,137.66000366210938,137.97000122070312,135.26380920410156,126200
2022-02-04,138.61000061035156,140.64999389648438,137.44000244140625,138.6999969482422,135.97947692871094,32700
2022-02-07,138.86000061035156,139.5500030517578,137.0500030517578,137.52000427246094,134.8226318359375,57600
2022-02-08,135.4499969482422,137.5800018310547,134.69000244140625,137.17999267578125,134.48928833007812,63100
2022-02-09,140.38999938964844,140.8000030517578,139.75,140.2899932861328,137.5382843017578,72500
2022-02-10,137.25999450683594,140.4499969482422,137.25999450683594,137.85000610351562,135.1461639404297,69100
2022-02-11,135.67999267578125,137.0800018310547,131.11000061035156,131.85000610351562,129.26385498046875,47200
2022-02-14,131.58999633789062,131.69000244140625,128.99000549316406,130.2100067138672,127.65601348876953,66900
2022-02-15,133.55999755859375,134.57000732421875,133.05999755859375,134.33999633789062,131.7050018310547,53100
2022-02-16,133.6999969482422,134.55999755859375,132.4199981689453,134.30999755859375,131.6755828857422,43000
2022-02-17,131.74000549316406,132.5399932861328,129.72999572753906,130.35000610351562,127.79326629638672,34300
2022-02-18,130.97999572753906,131.67999267578125,129.25999450683594,129.83999633789062,127.29326629638672,40800
2022-02-22,126.13999938964844,127.47000122070312,124.2699966430664,125.81999969482422,123.35211944580078,112500
2022-02-23,126.3499984741211,126.5199966430664,121.81999969482422,122.19000244140625,119.79331970214844,62000
2022-02-24,118.2300033569336,121.41000366210938,116.19999694824219,120.70999908447266,118.34234619140625,117100
2022-02-25,119.80000305175781,121.83000183105469,117.95999908447266,121.27999877929688,118.90116119384766,170000
2022-02-28,117.94000244140625,120.5999984741211,116.2300033569336,117.83999633789062,115.52863311767578,431400
2022-03-01,116.27999877929688,116.94999694824219,112.0199966430664,113.48999786376953,111.26396179199219,578000
2022-03-02,113.80000305175781,115.93000030517578,112.93000030517578,114.44000244140625,112.19532775878906,102700
2022-03-03,113.9800033569336,114.66000366210938,109.63999938964844,110.22000122070312,108.05810546875,114200
2022-03-04,104.58000183105469,106.98999786376953,101.0,102.08999633789062,100.08756256103516,206000
2022-03-07,99.77999877929688,100.0199966430664,93.86000061035156,94.63999938964844,92.78369140625,1070800
2022-03-08,100.52999877929688,106.62000274658203,98.66999816894531,100.88999938964844,98.91110229492188,249600
2022-03-09,116.48999786376953,117.77999877929688,114.8499984741211,115.87999725341797,113.6070785522461,103000
2022-03-10,109.8499984741211,111.2300033569336,108.31999969482422,110.75,108.57770538330078,381400
2022-03-11,115.76000213623047,116.51000213623047,110.8499984741211,110.93000030517578,108.7541732788086,653400
2022-03-14,113.76000213623047,115.52999877929688,111.75,112.30999755859375,110.10710144042969,203700
2022-03-15,111.5999984741211,113.26000213623047,109.58999633789062,111.73999786376953,109.54828643798828,167800
2022-03-16,115.41000366210938,119.95999908447266,115.3499984741211,118.47000122070312,116.14628601074219,127000
2022-03-17,116.69000244140625,119.79000091552734,116.54000091552734,119.16999816894531,116.83255004882812,179200
2022-03-18,116.33000183105469,120.75,115.8499984741211,120.58999633789062,118.22469329833984,193600
2022-03-21,118.5999984741211,118.80999755859375,116.58999633789062,117.80000305175781,115.48942565917969,79000
